Extractor,PCA Components,Classifier,Best Parameters,Accuracy,Precision,Recall,F1-Score
ResNet50,50,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'constant', 'max_iter': 200, 'solver': 'lbfgs'}",0.8500,0.8535353535353536,0.8500000000000001,0.849624060150376
ResNet50,50,MLP2,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': [64, 32], 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'lbfgs'}",0.9000,0.9010025062656641,0.9,0.8999374609130707
ResNet50,60,KNN,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.7625,0.7935010482180294,0.7625,0.756058417589472
ResNet50,60,SVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.9750,0.9761904761904762,0.975,0.9749843652282677
ResNet50,60,Random Forest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9375,0.9399748585795098,0.9375,0.9374119856047567
ResNet50,60,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.9750,0.975,0.975,0.975
ResNet50,60,MLP,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}",0.9250,0.9292929292929293,0.925,0.924812030075188
ResNet50,60,MLP2,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': [64, 32], 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}",0.9000,0.904040404040404,0.8999999999999999,0.899749373433584
ResNet50,80,KNN,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.8250,0.8385416666666667,0.825,0.8232323232323233
ResNet50,80,SVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.9500,0.9545454545454546,0.95,0.949874686716792
ResNet50,80,Random Forest,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8750,0.8759398496240601,0.875,0.8749218261413383
ResNet50,80,Logistic Regression,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.9250,0.9260651629072681,0.925,0.9249530956848031
ResNet50,80,MLP,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9500,0.95,0.95,0.95
ResNet50,80,MLP2,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': [64, 32], 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9500,0.9511278195488722,0.95,0.9499687304565353
DenseNet121,30,KNN,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7000,0.7,0.7,0.7
DenseNet121,30,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.9375,0.9399748585795098,0.9375,0.9374119856047567
DenseNet121,30,Random Forest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9000,0.9010025062656641,0.9,0.8999374609130707
DenseNet121,30,Logistic Regression,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.9375,0.9399748585795098,0.9375,0.9374119856047567
DenseNet121,30,MLP,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}",0.9250,0.9260651629072681,0.925,0.9249530956848031
DenseNet121,30,MLP2,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': [64], 'learning_rate': 'adaptive', 'max_iter': 200, 'solver': 'sgd'}",0.9125,0.914833438089252,0.9125,0.9123767798466593
DenseNet121,50,KNN,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.7625,0.7639849151477058,0.7625,0.7621655452980755
DenseNet121,50,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.9125,0.9127579737335836,0.9125000000000001,0.9124863259884357
DenseNet121,50,Random Forest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9125,0.9127579737335836,0.9125000000000001,0.9124863259884357
