Extractor_PCA_Fusion,Fussion,Accuracy,Precision,Recall,F1-Score
EfficientNetB0_30_Average_Fusion,Average Fusion,0.7375,0.750164581961817,0.7375,0.7341351479664504
EfficientNetB0_30_Min_Fusion,Min Fusion,0.725,0.74,0.725,0.7206349206349206
EfficientNetB0_30_Max_Fusion,Max Fusion,0.725,0.74,0.725,0.7206349206349206
EfficientNetB0_50_Sum_Fusion,Sum Fusion,0.8125,0.8174603174603174,0.8125,0.8117647058823529
EfficientNetB0_50_Product_Fusion,Product Fusion,0.8375,0.839409176618479,0.8375,0.8372711625723674
EfficientNetB0_50_Average_Fusion,Average Fusion,0.8125,0.8174603174603174,0.8125,0.8117647058823529
EfficientNetB0_50_Min_Fusion,Min Fusion,0.8375,0.839409176618479,0.8375,0.8372711625723674
EfficientNetB0_50_Max_Fusion,Max Fusion,0.8375,0.839409176618479,0.8375,0.8372711625723674
EfficientNetB0_60_Sum_Fusion,Sum Fusion,0.8,0.803030303030303,0.8,0.7994987468671679
EfficientNetB0_60_Product_Fusion,Product Fusion,0.8,0.803030303030303,0.8,0.7994987468671679
EfficientNetB0_60_Average_Fusion,Average Fusion,0.8,0.803030303030303,0.8,0.7994987468671679
EfficientNetB0_60_Min_Fusion,Min Fusion,0.8,0.803030303030303,0.8,0.7994987468671679
EfficientNetB0_60_Max_Fusion,Max Fusion,0.8,0.803030303030303,0.8,0.7994987468671679
EfficientNetB0_80_Sum_Fusion,Sum Fusion,0.8375,0.8377110694183865,0.8374999999999999,0.8374746054070948
EfficientNetB0_80_Product_Fusion,Product Fusion,0.8625,0.8627267041901188,0.8625,0.8624785122675418
EfficientNetB0_80_Average_Fusion,Average Fusion,0.8375,0.8377110694183865,0.8374999999999999,0.8374746054070948
EfficientNetB0_80_Min_Fusion,Min Fusion,0.85,0.8508771929824561,0.85,0.849906191369606
EfficientNetB0_80_Max_Fusion,Max Fusion,0.85,0.8508771929824561,0.85,0.849906191369606
